0.30578512,0.54732510,0.36599424,0.27070707,0.36511156,0.56921790,0.37598425,0.56724422,0.57975904,0.35211268,0.28957529,0.42026507,0.37685460,0.50107991,0.41373626,0.28661088,0.28348214,0.57394366,0.32033898,0.36570561,0.43105756,0.47152620,0.37256809,0.29629630,0.49328859,0.58106236,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.40831296,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.63250883
0.27702703,0.16233766,0.24340176,0.27070707,0.36511156,0.22813688,0.37598425,0.21610169,0.57975904,0.35211268,0.19708029,0.42026507,0.33333333,0.37111265,0.41373626,0.23364486,0.28348214,0.57394366,0.32033898,0.36570561,0.43105756,0.60229133,0.37256809,0.32492114,0.28205128,0.27272727,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.21276596,0.40942472,0.56906967,0.55952381,0.40428641,0.37878788,0.71484375,0.71947195
0.27702703,0.16233766,0.36599424,0.38876890,0.36511156,0.56921790,0.42331288,0.21610169,0.57975904,0.35211268,0.58214625,0.42026507,0.37685460,0.37111265,0.41373626,0.28661088,0.28348214,0.57394366,0.23312883,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.39387755,0.32967033,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.40831296,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.48837209,0.71947195
0.60943500,0.16233766,0.24340176,0.61524047,0.18205805,0.56921790,0.30487805,0.56724422,0.57975904,0.33079848,0.58214625,0.42026507,0.25641026,0.37111265,0.41373626,0.28661088,0.32114286,0.26470588,0.60483384,0.36570561,0.43105756,0.47152620,0.37256809,0.30022321,0.59856631,0.32967033,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.20454545,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.16233766,0.60486995,0.38876890,0.63481829,0.56921790,0.42331288,0.15000000,0.28571429,0.41196013,0.23913043,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.61182994,0.21276596,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.16233766,0.24340176,0.27070707,0.39333333,0.25000000,0.37598425,0.56724422,0.31944444,0.41196013,0.19708029,0.42026507,0.33333333,0.37111265,0.41373626,0.28661088,0.28348214,0.29257642,0.49600000,0.36570561,0.43105756,0.35516605,0.37256809,0.44571429,0.39387755,0.32967033,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.48837209,0.71947195
0.27702703,0.22615804,0.24340176,0.27070707,0.18205805,0.22813688,0.30487805,0.15000000,0.35135135,0.35211268,0.23913043,0.42026507,0.25641026,0.37111265,0.41373626,0.30564784,0.28348214,0.57394366,0.32033898,0.36570561,0.43105756,0.34426230,0.37256809,0.32492114,0.39387755,0.25742574,0.40072860,0.27205882,0.41983122,0.74430380,0.43529412,0.61182994,0.21276596,0.63903282,0.56906967,0.41192266,0.40428641,0.37878788,0.71484375,0.71947195
0.60943500,0.22615804,0.49411765,0.27070707,0.18205805,0.56921790,0.22093023,0.56724422,0.37850467,0.33079848,0.58214625,0.42026507,0.58858058,0.77210884,0.41373626,0.57398374,0.28348214,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.61182994,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.63250883
0.26562500,0.22615804,0.21568627,0.27070707,0.63481829,0.56921790,0.61547837,0.56724422,0.57975904,0.59348681,0.19708029,0.42026507,0.25641026,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.34426230,0.37256809,0.30022321,0.49328859,0.58106236,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.11764706,0.40942472,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.63250883
0.27702703,0.22615804,0.24340176,0.27070707,0.18205805,0.20175439,0.30487805,0.19718310,0.23076923,0.35211268,0.23913043,0.42026507,0.25641026,0.37111265,0.41373626,0.30564784,0.32114286,0.29257642,0.23312883,0.36570561,0.43105756,0.47152620,0.37256809,0.44571429,0.28205128,0.27272727,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.37878788,0.71484375,0.71947195
0.27702703,0.16233766,0.24340176,0.27070707,0.30909091,0.20175439,0.30487805,0.19718310,0.57975904,0.33079848,0.19708029,0.42026507,0.18518519,0.37111265,0.41373626,0.30564784,0.28348214,0.20238095,0.32033898,0.36570561,0.43105756,0.60229133,0.37256809,0.44571429,0.39387755,0.25742574,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.63250883
0.40070922,0.22615804,0.36599424,0.27070707,0.63481829,0.22813688,0.37598425,0.56724422,0.31250000,0.33079848,0.34237288,0.42026507,0.18518519,0.37111265,0.41373626,0.23364486,0.28348214,0.57394366,0.46597938,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.39387755,0.17391304,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.40831296,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.71484375,0.71947195
0.40070922,0.40447154,0.36599424,0.30708661,0.18205805,0.20175439,0.22093023,0.19718310,0.23076923,0.33079848,0.19708029,0.42026507,0.25641026,0.50107991,0.41373626,0.30564784,0.26612903,0.20238095,0.46597938,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.27272727,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.63250883
0.30578512,0.16233766,0.24340176,0.30708661,0.18205805,0.20175439,0.30487805,0.21568627,0.57975904,0.33079848,0.19708029,0.42026507,0.25641026,0.37111265,0.41373626,0.30564784,0.28348214,0.57394366,0.32033898,0.36570561,0.43105756,0.47152620,0.37256809,0.44571429,0.24347826,0.25742574,0.40072860,0.27205882,0.41983122,0.74430380,0.43529412,0.20454545,0.34492754,0.40942472,0.56906967,0.55952381,0.40428641,0.39797549,0.71484375,0.71947195
0.26562500,0.16233766,0.24340176,0.27070707,0.18205805,0.22813688,0.30487805,0.21610169,0.23076923,0.33079848,0.19708029,0.42026507,0.33333333,0.37111265,0.41373626,0.23364486,0.28348214,0.26470588,0.32033898,0.36570561,0.43105756,0.47152620,0.37256809,0.44571429,0.39387755,0.33447099,0.40072860,0.51098901,0.41983122,0.74430380,0.43529412,0.61182994,0.27898551,0.63903282,0.56906967,0.41192266,0.40428641,0.39797549,0.48837209,0.63250883
0.27702703,0.54732510,0.49411765,0.27070707,0.63481829,0.56921790,0.37598425,0.21610169,0.35135135,0.41196013,0.23913043,0.42026507,0.18518519,0.37111265,0.41373626,0.28661088,0.63134658,0.57394366,0.23312883,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.28205128,0.27272727,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.61182994,0.21276596,0.40942472,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.63250883
0.60943500,0.22615804,0.24340176,0.27070707,0.36511156,0.20175439,0.30487805,0.19718310,0.57975904,0.33079848,0.28957529,0.42026507,0.25641026,0.37111265,0.41373626,0.57398374,0.28348214,0.29257642,0.46597938,0.36570561,0.43105756,0.60229133,0.37256809,0.44571429,0.28205128,0.27272727,0.40072860,0.36616702,0.41983122,0.74430380,0.43529412,0.20454545,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.35000000,0.41570541,0.63250883
0.30578512,0.22615804,0.36599424,0.27070707,0.36511156,0.22813688,0.37598425,0.21610169,0.57975904,0.35211268,0.34237288,0.42026507,0.37685460,0.35195531,0.41373626,0.23364486,0.28348214,0.37931034,0.32033898,0.36570561,0.43105756,0.47152620,0.37256809,0.44571429,0.59856631,0.33447099,0.40072860,0.36616702,0.41983122,0.57272727,0.43529412,0.61182994,0.27898551,0.40942472,0.56906967,0.55952381,0.40428641,0.37878788,0.48837209,0.38827098
0.27702703,0.40447154,0.21568627,0.27070707,0.36511156,0.22813688,0.42331288,0.56724422,0.37850467,0.33079848,0.43750000,0.42026507,0.25641026,0.37111265,0.41373626,0.28661088,0.28348214,0.57394366,0.49600000,0.36570561,0.43105756,0.35516605,0.37256809,0.32492114,0.28205128,0.27272727,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.40831296,0.47122302,0.63903282,0.56906967,0.41192266,0.40428641,0.37878788,0.71484375,0.81382979
0.60943500,0.65112665,0.24340176,0.38876890,0.63481829,0.56921790,0.61547837,0.15000000,0.31944444,0.59348681,0.28957529,0.42026507,0.33333333,0.37111265,0.41373626,0.28661088,0.63134658,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.24347826,0.27272727,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.78318584,0.39797549,0.41570541,0.38827098
0.27702703,0.22615804,0.36599424,0.38876890,0.30909091,0.20175439,0.30487805,0.56724422,0.23076923,0.33079848,0.28957529,0.42026507,0.54054054,0.37111265,0.41373626,0.28661088,0.32114286,0.26470588,0.60483384,0.36570561,0.43105756,0.47152620,0.56164384,0.29629630,0.59856631,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.40831296,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.63250883
0.26562500,0.65112665,0.21568627,0.61524047,0.36511156,0.56921790,0.42331288,0.21610169,0.23076923,0.35211268,0.19708029,0.42026507,0.33333333,0.37111265,0.41373626,0.28661088,0.63134658,0.57394366,0.60483384,0.36570561,0.43105756,0.60229133,0.37256809,0.32492114,0.39387755,0.32967033,0.40072860,0.42682927,0.41983122,0.85840708,0.43529412,0.61182994,0.58640984,0.40942472,0.56906967,0.41192266,0.51162791,0.39797549,0.41570541,0.63250883
0.27702703,0.22615804,0.24340176,0.27070707,0.36511156,0.22813688,0.42331288,0.21610169,0.57975904,0.35211268,0.28957529,0.42026507,0.37685460,0.37111265,0.41373626,0.72955975,0.63134658,0.57394366,0.23312883,0.36570561,0.43105756,0.35516605,0.37256809,0.44571429,0.49328859,0.58106236,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.40831296,0.47122302,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.63250883
0.26562500,0.09090909,0.24340176,0.50199203,0.36511156,0.20175439,0.37598425,0.56724422,0.31250000,0.41196013,0.19708029,0.42026507,0.33333333,0.35195531,0.41373626,0.28661088,0.28348214,0.29257642,0.32033898,0.36570561,0.43105756,0.60229133,0.37256809,0.80259740,0.49328859,0.33447099,0.40072860,0.36616702,0.41983122,0.85840708,0.43529412,0.61182994,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.56934307
0.27702703,0.16233766,0.24340176,0.30708661,0.30909091,0.20175439,0.22093023,0.56724422,0.57975904,0.59348681,0.58214625,0.42026507,0.58858058,0.81632653,0.41373626,0.72955975,0.32114286,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.58106236,0.40072860,0.51098901,0.41983122,0.35981063,0.43529412,0.61182994,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.56934307
0.30578512,0.16233766,0.21568627,0.66666667,0.30909091,0.56921790,0.37598425,0.34228188,0.31250000,0.41196013,0.28957529,0.42026507,0.18518519,0.71404110,0.41373626,0.72955975,0.28348214,0.29411765,0.46597938,0.36570561,0.68932039,0.47152620,0.37256809,0.73597811,0.24347826,0.17391304,0.40072860,0.17567568,0.41983122,0.57272727,0.43529412,0.12500000,0.34492754,0.63903282,0.56906967,0.62670300,0.63486842,0.39797549,0.41570541,0.38827098
0.30578512,0.16233766,0.24340176,0.30708661,0.30909091,0.20175439,0.37598425,0.19718310,0.57975904,0.35211268,0.19708029,0.42026507,0.25641026,0.37111265,0.54437870,0.30564784,0.26612903,0.20238095,0.32033898,0.36570561,0.68932039,0.25974026,0.37256809,0.73597811,0.24347826,0.25742574,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.12500000,0.21276596,0.40942472,0.56906967,0.62670300,0.40428641,0.39797549,0.41570541,0.38827098
0.27702703,0.16233766,0.21568627,0.30708661,0.18205805,0.20175439,0.42331288,0.56724422,0.37850467,0.59348681,0.28957529,0.42026507,0.25641026,0.37111265,0.41373626,0.28661088,0.32114286,0.26470588,0.32033898,0.36570561,0.68932039,0.47152620,0.37256809,0.44571429,0.28205128,0.25742574,0.40072860,0.27205882,0.41983122,0.57272727,0.43529412,0.24301075,0.34492754,0.40942472,0.56906967,0.58682635,0.40428641,0.39797549,0.41570541,0.38827098
0.27702703,0.16233766,0.36599424,0.30708661,0.30909091,0.56921790,0.30487805,0.15000000,0.31944444,0.35211268,0.19708029,0.42026507,0.37685460,0.37111265,0.41373626,0.57398374,0.32114286,0.57394366,0.60483384,0.36570561,0.54411765,0.35516605,0.37256809,0.44571429,0.48717949,0.32967033,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.53003534,0.11764706,0.40942472,0.56906967,0.41192266,0.63486842,0.39797549,0.41570541,0.38827098
0.30578512,0.16233766,0.36599424,0.30708661,0.18205805,0.25000000,0.37598425,0.21610169,0.31250000,0.35211268,0.28957529,0.42026507,0.33333333,0.37111265,0.41373626,0.23364486,0.28348214,0.26470588,0.60483384,0.36570561,0.54411765,0.35516605,0.37256809,0.44571429,0.09523810,0.27272727,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.63903282,0.56906967,0.58682635,0.63486842,0.39797549,0.41570541,0.38827098
0.27702703,0.22615804,0.24340176,0.27070707,0.18205805,0.27777778,0.37598425,0.34228188,0.31250000,0.41196013,0.28957529,0.42026507,0.33333333,0.37111265,0.69435216,0.23364486,0.63134658,0.29257642,0.23312883,0.36570561,0.43105756,0.25974026,0.37256809,0.44571429,0.39387755,0.27272727,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.24301075,0.34492754,0.57772021,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.27702703,0.16233766,0.24340176,0.30708661,0.30909091,0.25000000,0.37598425,0.19718310,0.37850467,0.27777778,0.28957529,0.42026507,0.33333333,0.37111265,0.41373626,0.57398374,0.28348214,0.57394366,0.60483384,0.36570561,0.67123288,0.34426230,0.37256809,0.73597811,0.24347826,0.30434783,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.61182994,0.21276596,0.40942472,0.56906967,0.58682635,0.54708520,0.39797549,0.41570541,0.38827098
0.27702703,0.16233766,0.21568627,0.30708661,0.30909091,0.20175439,0.30487805,0.15000000,0.31944444,0.41196013,0.19708029,0.42026507,0.33333333,0.71404110,0.41373626,0.72955975,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.34426230,0.37256809,0.44571429,0.24347826,0.27272727,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.61182994,0.21276596,0.63903282,0.56906967,0.58682635,0.40428641,0.50216450,0.41570541,0.38827098
0.40070922,0.22615804,0.36599424,0.30708661,0.18205805,0.20175439,0.37598425,0.21568627,0.31250000,0.35211268,0.28957529,0.42026507,0.33333333,0.35195531,0.54437870,0.30564784,0.32114286,0.26470588,0.60483384,0.36570561,0.50000000,0.35516605,0.37256809,0.32492114,0.39387755,0.33447099,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.40831296,0.34492754,0.40942472,0.56906967,0.36111111,0.40428641,0.39797549,0.41570541,0.38827098
0.30578512,0.16233766,0.24340176,0.30708661,0.18205805,0.20175439,0.61547837,0.19718310,0.31250000,0.59348681,0.28957529,0.42026507,0.33333333,0.37111265,0.41373626,0.28661088,0.28348214,0.26470588,0.60483384,0.36570561,0.54411765,0.47152620,0.37256809,0.44571429,0.49328859,0.27272727,0.40072860,0.36616702,0.41983122,0.25000000,0.43529412,0.61182994,0.27898551,0.40942472,0.56906967,0.58682635,0.40428641,0.39797549,0.41570541,0.38827098
0.27702703,0.22615804,0.24340176,0.30708661,0.30909091,0.22813688,0.30487805,0.19718310,0.57975904,0.35211268,0.19708029,0.42026507,0.33333333,0.37111265,0.41373626,0.30564784,0.32114286,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.44571429,0.24347826,0.27272727,0.40072860,0.42682927,0.41983122,0.35981063,0.43529412,0.61182994,0.21276596,0.40942472,0.56906967,0.41192266,0.63486842,0.37878788,0.41570541,0.38827098
0.30578512,0.16233766,0.24340176,0.30708661,0.18205805,0.25000000,0.37598425,0.34228188,0.31250000,0.35211268,0.34237288,0.42026507,0.25641026,0.50107991,0.47826087,0.57398374,0.26612903,0.20238095,0.32033898,0.36570561,0.43105756,0.47152620,0.37256809,0.44571429,0.24347826,0.25742574,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.20454545,0.27898551,0.63903282,0.56906967,0.58682635,0.54708520,0.37878788,0.41570541,0.38827098
0.30578512,0.16233766,0.24340176,0.30708661,0.30909091,0.20175439,0.37598425,0.15000000,0.31944444,0.35211268,0.19708029,0.42026507,0.33333333,0.37111265,0.41373626,0.30564784,0.28348214,0.26470588,0.60483384,0.36570561,0.43105756,0.47152620,0.37256809,0.44571429,0.28205128,0.58106236,0.82300885,0.42682927,0.41983122,0.35981063,0.43529412,0.53003534,0.11764706,0.63903282,0.56906967,0.41192266,0.40428641,0.50216450,0.41570541,0.38827098
0.30578512,0.22615804,0.24340176,0.30708661,0.18205805,0.56921790,0.37598425,0.19718310,0.31250000,0.35211268,0.19708029,0.42026507,0.54054054,0.50107991,0.69435216,0.23364486,0.63134658,0.33103448,0.23312883,0.36570561,0.43105756,0.47152620,0.37256809,0.44571429,0.28205128,0.32967033,0.40072860,0.51098901,0.41983122,0.35981063,0.43529412,0.40831296,0.21276596,0.40942472,0.56906967,0.41192266,0.63486842,0.39797549,0.41570541,0.38827098
0.27702703,0.22615804,0.36599424,0.27070707,0.18205805,0.22813688,0.37598425,0.56724422,0.37850467,0.35211268,0.43902439,0.42026507,0.33333333,0.50107991,0.54437870,0.30564784,0.63134658,0.26470588,0.32033898,0.36570561,0.43105756,0.34426230,0.37256809,0.44571429,0.49328859,0.25742574,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.20454545,0.47122302,0.63903282,0.56906967,0.41192266,0.40428641,0.35000000,0.41570541,0.38827098
0.27702703,0.22615804,0.24340176,0.27070707,0.18205805,0.27777778,0.37598425,0.19718310,0.31944444,0.33079848,0.34237288,0.42026507,0.37685460,0.37111265,0.41373626,0.28661088,0.26612903,0.57394366,0.60483384,0.36570561,0.43105756,0.47152620,0.37256809,0.32492114,0.49328859,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.53003534,0.34492754,0.40942472,0.56906967,0.41192266,0.63486842,0.39797549,0.41570541,0.38827098
0.27702703,0.22615804,0.21568627,0.30708661,0.63481829,0.56921790,0.42331288,0.15000000,0.31944444,0.33079848,0.19708029,0.42026507,0.54054054,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.46597938,0.36570561,0.43105756,0.60229133,0.37256809,0.73597811,0.59856631,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.53003534,0.21276596,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.63250883
0.26562500,0.22615804,0.36599424,0.38876890,0.36511156,0.20175439,0.22093023,0.19718310,0.37850467,0.59348681,0.34237288,0.42026507,0.25641026,0.37111265,0.41373626,0.28661088,0.63134658,0.29257642,0.32033898,0.36570561,0.43105756,0.60229133,0.37256809,0.44571429,0.49328859,0.58106236,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.21276596,0.40942472,0.56906967,0.41192266,0.63486842,0.39797549,0.41570541,0.56934307
0.27702703,0.22615804,0.24340176,0.27070707,0.18205805,0.22813688,0.42331288,0.34228188,0.31250000,0.41196013,0.58214625,0.42026507,0.25641026,0.37111265,0.41373626,0.28661088,0.28348214,0.26470588,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.32492114,0.28205128,0.33447099,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.27898551,0.40942472,0.56906967,0.41192266,0.63486842,0.39797549,0.71484375,0.81382979
0.27702703,0.22615804,0.24340176,0.27070707,0.63481829,0.56921790,0.61547837,0.56724422,0.31944444,0.35211268,0.34237288,0.42026507,0.33333333,0.37111265,0.41373626,0.30564784,0.28348214,0.57394366,0.49600000,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.59856631,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.53003534,0.58640984,0.57772021,0.56906967,0.41192266,0.63486842,0.39797549,0.41570541,0.38827098
0.60943500,0.54732510,0.24340176,0.27070707,0.18205805,0.20175439,0.30487805,0.56724422,0.57975904,0.33079848,0.28957529,0.42026507,0.33333333,0.71404110,0.41373626,0.28661088,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.44571429,0.49328859,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.40831296,0.58640984,0.51006711,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.63250883
0.60943500,0.65112665,0.36599424,0.27070707,0.18205805,0.56921790,0.30487805,0.56724422,0.37850467,0.35211268,0.28957529,0.42026507,0.58858058,0.77210884,0.41373626,0.77593361,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.49328859,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.61182994,0.34492754,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.64705882,0.49411765,0.27070707,0.36511156,0.20175439,0.37598425,0.19718310,0.57975904,0.33079848,0.28957529,0.42026507,0.33333333,0.77210884,0.41373626,0.30564784,0.28348214,0.26470588,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.32492114,0.39387755,0.32967033,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.24301075,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.48837209,0.38827098
0.60943500,0.65112665,0.60486995,0.30708661,0.36511156,0.20175439,0.37598425,0.56724422,0.37850467,0.41196013,0.43750000,0.42026507,0.58858058,0.50107991,0.41373626,0.28661088,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.29629630,0.59856631,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.40831296,0.58640984,0.57772021,0.56906967,0.36111111,0.40428641,0.39797549,0.41570541,0.38827098
0.60943500,0.65112665,0.51190476,0.27070707,0.36511156,0.22813688,0.30487805,0.34228188,0.31250000,0.33079848,0.34237288,0.42026507,0.37685460,0.37111265,0.54437870,0.30564784,0.32114286,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.29629630,0.49328859,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.53003534,0.27898551,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.48837209,0.71947195
0.30578512,0.65112665,0.49411765,0.27070707,0.63481829,0.56921790,0.61547837,0.56724422,0.23076923,0.35211268,0.34237288,0.42026507,0.37685460,0.37111265,0.41373626,0.23364486,0.32114286,0.57394366,0.23312883,0.36570561,0.43105756,0.35516605,0.37256809,0.32492114,0.59856631,0.58106236,0.31250000,0.36616702,0.41983122,0.35981063,0.43529412,0.53003534,0.58640984,0.40942472,0.56906967,0.41192266,0.63486842,0.39797549,0.41570541,0.38827098
0.60943500,0.16233766,0.24340176,0.30708661,0.36511156,0.56921790,0.61547837,0.56724422,0.28571429,0.59348681,0.58214625,0.42026507,0.58858058,0.37111265,0.41373626,0.28661088,0.32114286,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.32492114,0.59856631,0.58106236,0.40072860,0.61169882,0.41983122,0.35981063,0.43529412,0.61182994,0.58640984,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,1.00000000,1.00000000
0.60943500,0.40447154,0.60486995,0.30708661,0.63481829,0.56921790,0.61547837,0.56724422,0.57975904,0.35211268,0.58214625,0.42026507,0.33333333,0.37111265,0.41373626,0.30564784,0.73578595,0.57394366,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.28205128,0.33447099,0.40072860,0.36616702,0.41983122,0.35981063,0.43529412,0.40831296,0.58640984,0.40942472,0.56906967,0.41192266,0.63486842,0.64619883,0.41570541,0.38827098
0.27702703,0.16233766,0.24340176,0.30708661,0.30909091,0.56921790,0.30487805,0.21610169,0.23076923,0.35211268,0.23913043,0.42026507,0.25641026,0.35195531,0.41373626,0.30564784,0.28348214,0.20238095,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.28205128,0.17391304,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.12500000,0.21276596,0.63903282,0.56906967,0.41192266,0.78318584,0.39797549,0.41570541,0.38827098
0.27702703,0.22615804,0.21568627,0.50199203,0.36511156,0.22813688,0.37598425,0.21610169,0.57975904,0.33079848,0.19708029,0.42026507,0.18518519,0.71404110,0.41373626,0.72955975,0.63134658,0.57394366,0.23312883,0.70403587,0.43105756,0.35516605,0.37256809,0.30022321,0.24347826,0.27272727,0.70000000,0.36616702,0.41983122,0.40350877,0.43529412,0.61182994,0.21276596,0.40942472,0.56906967,0.41192266,0.40428641,0.39797549,0.34782609,0.56934307
0.30578512,0.40447154,0.51190476,0.27070707,0.18205805,0.28571429,0.37598425,0.56724422,0.42857143,0.35211268,0.34237288,0.42026507,0.37685460,0.37111265,0.41373626,0.30564784,0.32114286,0.57394366,0.60483384,0.36570561,0.43105756,0.35516605,0.37256809,0.32492114,0.59856631,0.32967033,0.82300885,0.27205882,0.41983122,0.35981063,0.43529412,0.53003534,0.58640984,0.77173913,0.56906967,0.62670300,0.54708520,0.37878788,0.41570541,0.38827098
0.27702703,0.22615804,0.24340176,0.30708661,0.18205805,0.22813688,0.37598425,0.19718310,0.57975904,0.59348681,0.19708029,0.70588235,0.25641026,0.37111265,0.54437870,0.28661088,0.73578595,0.20238095,0.23312883,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.24347826,0.25742574,0.90140845,0.27205882,0.41983122,0.35981063,0.43529412,0.20454545,0.27898551,0.40942472,0.56906967,0.41192266,0.63486842,0.37878788,0.41570541,0.38827098
0.60943500,0.65112665,0.51190476,0.61524047,0.63481829,0.56921790,0.37598425,0.56724422,0.57975904,0.33079848,0.43750000,0.42026507,0.18518519,0.71404110,0.41373626,0.77593361,0.63134658,0.29257642,0.32033898,0.36570561,0.43105756,0.35516605,0.37256809,0.30022321,0.39387755,0.58106236,0.40072860,0.27205882,0.41983122,0.35981063,0.43529412,0.61182994,0.58640984,0.33333333,0.56906967,0.41192266,0.63486842,0.39797549,0.71484375,0.63250883
